Year,Month,meanMax,meanMin,meanPcp
2005,June,18.836666666666666,12.48,2.4
2005,July,22.083870967741934,14.12258064516129,2.3419354838709676
2005,August,23.39032258064516,14.745161290322581,0.9548387096774194
2005,September,18.085185185185185,10.955555555555556,0.23076923076923078
2005,October,13.938709677419356,9.235483870967743,6.4375
2005,November,7.8,4.34,5.34
2005,December,7.032258064516129,3.1032258064516127,5.141935483870967
2006,January,8.193548387096774,5.009677419354839,11.012903225806452
2006,February,8.05,2.016,2.0214285714285714
2006,March,10.493333333333334,3.757142857142857,4.851612903225806
2006,April,13.651724137931035,6.323333333333333,2.6066666666666665
2006,May,17.116129032258065,9.083870967741936,1.5161290322580645
2006,June,20.596666666666668,12.566666666666666,2.56
2006,July,22.780645161290323,14.76774193548387,0.43870967741935485
2006,August,21.693548387096776,13.3,0.19999999999999998
2006,September,19.426666666666666,11.44,1.9
2006,October,12.951612903225806,7.325806451612904,3.5935483870967744
2006,November,7.9799999999999995,3.723333333333333,16.04
2006,December,7.32258064516129,3.174193548387097,4.7935483870967746
2007,January,5.732258064516129,1.3612903225806452,10.451612903225806
2007,February,6.35,0.8,4.871428571428572
2007,March,9.716129032258065,4.870967741935484,10.703225806451613
2007,April,12.227586206896552,5.933333333333334,3.2620689655172415
2007,May,NaN,NaN,2.296774193548387
2007,June,19.63888888888889,10.480952380952381,2.1826086956521737
2007,July,23.470967741935485,15.125806451612902,2.361290322580645
2007,August,22.25,14.026666666666667,0.5517241379310345
2007,September,18.186666666666667,11.17,2.453333333333333
2007,October,12.905,8.361904761904762,2.7666666666666666
2007,November,7.989473684210527,3.2526315789473683,4.457894736842105
2007,December,6.156666666666666,2.3451612903225807,8.253333333333334
2008,January,5.632258064516129,1.8612903225806452,5.6322580645161295
2008,February,8.789655172413793,3.2758620689655173,3.2758620689655173
2008,March,9.196774193548388,3.6483870967741936,3.5666666666666664
2008,April,11.196666666666667,4.733333333333333,3.1862068965517243
2008,May,16.948387096774194,9.609677419354838,1.2333333333333334
2008,June,18.033333333333335,11.216666666666667,2.02
2008,July,22.309677419354838,14.387096774193548,0.8933333333333333
2008,August,21.558064516129033,13.95483870967742,3.52258064516129
2008,September,18.583333333333332,11.453333333333333,0.9357142857142857
2008,October,13.387096774193548,7.806451612903226,4.006451612903226
2008,November,10.583333333333334,6.713333333333333,7.4
2008,December,4.17741935483871,0.7322580645161291,6.2064516129032254
2009,January,4.370967741935484,1.1870967741935483,6.541935483870968
2009,February,8.464285714285714,2.057142857142857,2.5214285714285714
2009,March,8.341935483870968,2.2225806451612904,4.980645161290322
2009,April,13.386666666666667,5.866666666666667,2.533333333333333
2009,May,17.68064516129032,8.838709677419354,2.2733333333333334
2009,June,21.81,13.556666666666667,0.52
2009,July,24.7,15.135483870967741,0.64
2009,August,22.548387096774192,14.787096774193548,1.335483870967742
2009,September,19.836666666666666,12.24,3.7866666666666666
2009,October,13.748387096774193,7.690322580645161,6.873333333333333
2009,November,9.744827586206897,5.416666666666667,11.448275862068966
2009,December,6.0814814814814815,1.7,5.953571428571428
2010,January,9.780645161290323,5.832258064516129,11.687096774193549
2010,February,10.54642857142857,5.507142857142857,6.367857142857143
2010,March,11.444827586206896,5.325806451612904,6.940740740740741
2010,April,13.48,6.413333333333333,5.413333333333333
2010,May,16.34642857142857,8.89642857142857,8
2010,June,18.6,12.347368421052632,4.341176470588235
2010,July,23.044444444444444,14.273333333333333,0.1608695652173913
2010,August,22.96451612903226,14.55483870967742,3.0612903225806454
2010,September,18.656666666666666,12.47,8.726666666666667
2010,October,14.446666666666667,9.238709677419354,4.836666666666667
2010,November,8.02,3.8833333333333333,7.723333333333334
2010,December,7.903225806451613,3.8483870967741933,7.648387096774194
2011,January,6.741935483870968,2.803225806451613,8.245161290322581
2011,February,6.210714285714285,1.75,5.733333333333333
2011,March,9.117647058823529,4.211111111111111,5.716666666666667
2011,April,NaN,NaN,NaN
2011,May,NaN,NaN,NaN
2011,June,NaN,NaN,NaN
2011,July,NaN,NaN,NaN
2011,August,22.581818181818182,14.5,1.68
2011,September,20.220689655172414,12.48,5.3999999999999995
2011,October,12.983870967741936,8.22258064516129,3.261111111111111
2011,November,8.403333333333332,3.6733333333333333,7.006666666666667
2011,December,6.903225806451613,2.7870967741935484,3.6354838709677417
2012,January,6.248387096774193,2.3,6.406451612903226
2012,February,7.875862068965517,3.6206896551724137,5.6
2012,March,8.380645161290323,3.5935483870967744,5.836666666666667
2012,April,13.336666666666666,6.776666666666666,4.3533333333333335
2012,May,16.151612903225807,8.651612903225807,2.9193548387096775
2012,June,17.46666666666667,11.290000000000001,4.256666666666667
2012,July,21.706451612903226,14.516129032258064,1.5032258064516129
2012,August,23.37741935483871,14.919354838709678,0.29333333333333333
2012,September,19.706666666666667,11.383333333333333,0.32666666666666666
2012,October,13.180645161290323,8.209677419354838,9.343333333333334
2012,November,9.8,5.846666666666667,8.903333333333332
2012,December,6.633333333333334,3.732142857142857,7.792857142857143
2013,January,5.389655172413793,1.8827586206896552,4.844827586206897
2013,February,7.464285714285714,3.8535714285714286,5.071428571428571
2013,March,10.609677419354838,4.577419354838709,6.029032258064516
2013,April,13.04,6.706666666666667,4.626666666666667
2013,May,17.43548387096774,10.261290322580646,2.838709677419355
2013,June,19.557142857142857,12.883333333333333,2.060714285714286
2013,July,23.844827586206897,15.209677419354838,0.006896551724137932
2013,August,23.39032258064516,15.651612903225807,2.367741935483871
2013,September,19.16,13.173333333333334,5.448275862068965
2013,October,12.754838709677419,7.445161290322581,1.5733333333333333
2013,November,9.523333333333333,4.746666666666667,5.12
2013,December,5.651612903225806,2.0193548387096776,2.729032258064516
2014,January,7.403225806451613,3.2838709677419353,4.113333333333333
2014,February,6.216,1.2037037037037037,3.5476190476190474
2014,March,9.95,4.787096774193548,6.956666666666667
2014,April,14.22,6.9366666666666665,4.116666666666666
2014,May,18.809677419354838,11.290322580645162,3.2258064516129035
2014,June,20.123333333333335,12.723333333333333,1.2586206896551724
2014,July,24.261290322580646,15.170967741935485,0.9258064516129032
2014,August,24.548387096774192,15.932258064516128,0.5419354838709678
2014,September,20.263333333333332,12.816666666666666,3.3566666666666665
2014,October,15.670967741935483,11.161290322580646,6.27741935483871
2014,November,9.973333333333333,4.42,9.4
2014,December,8.393548387096773,4.003225806451613,7.568965517241379
2015,January,8.9,4.870967741935484,6.935483870967742
2015,February,10.728571428571428,6.285714285714286,4.642857142857143
2015,March,12.474193548387097,6.274193548387097,6.503225806451613
2015,April,13.96896551724138,6.54,2.6517241379310343
2015,May,19.809677419354838,11.796774193548387,0.06451612903225806
2015,June,23.623333333333335,14.356666666666667,0.24666666666666665
2015,July,24.967741935483872,15.583870967741936,1.0774193548387097
2015,August,23.59032258064516,14.748387096774193,2.4387096774193546
2015,September,17.89666666666667,11.313333333333334,2.09
2015,October,15.280645161290323,10.216129032258065,3.6903225806451614
2015,November,9.133333333333333,3.8433333333333333,8.466666666666667
2015,December,8.46551724137931,4.361290322580645,9.389655172413793
2016,January,8.167741935483871,3.8516129032258064,6.935483870967742
2016,February,10.279310344827586,5.531034482758621,6.144827586206897
2016,March,11.993548387096775,6.258064516129032,6.393548387096774
2016,April,16.836666666666666,9.173333333333334,0.8766666666666667
2016,May,19.066666666666666,10.983870967741936,2.5533333333333332
2016,June,20.85333333333333,12.826666666666666,2.8033333333333332
2016,July,22.741935483870968,15.245161290322581,1.9096774193548387
2016,August,23.52258064516129,14.76774193548387,0.4032258064516129
2016,September,18.45,11.686666666666667,2.73
2016,October,13.461290322580645,9.574193548387097,7.151612903225806
2016,November,11.556666666666667,7.876666666666667,8.74
2016,December,4.616666666666666,0.5741935483870968,6.743333333333333
2017,January,6.106451612903226,1.1838709677419355,4.170967741935484
2017,February,7.110714285714286,1.5785714285714285,4.964285714285714
2017,March,9.245161290322581,4.680645161290323,8.76774193548387
2017,April,12.913333333333334,7,5.6066666666666665
2017,May,17.87,9.593548387096774,3.8066666666666666
2017,June,20.593333333333334,12.573333333333332,1.5899999999999999
2017,July,24.019354838709678,14.919354838709678,0.08709677419354839
2017,August,24.616666666666667,15.209677419354838,0.33666666666666667
2017,September,20.67,12.823333333333334,1.26
2017,October,13.72258064516129,7.912903225806452,5.945161290322581
2017,November,9.5,5.473333333333334,9.183333333333334
2017,December,5.983870967741935,1.932258064516129,6.041935483870968
2018,January,7.912903225806452,4.661290322580645,10.870967741935484
2018,February,6.428571428571429,1.8678571428571429,4.667857142857143
2018,March,10.174193548387096,4.054838709677419,4.596774193548387
2018,April,13.363333333333333,6.783333333333333,5.963333333333334
2018,May,20.438709677419354,11.680645161290322,0.029032258064516127
2018,June,20.203333333333333,13,1.58
2018,July,25.13225806451613,15.138709677419355,0.45483870967741935
2018,August,24.058064516129033,14.883870967741936,0.16129032258064516
2018,September,18.525925925925925,11.977777777777778,5.1
